link,title
/wiki/Branca_de_Neve_e_os_Sete_An%C3%B5es_(filme),Snow White and the Seven Dwarfs
#cite_note-The_Force_Awakens-111,nota 3
#cite_note-112,nota 4
/w/index.php?title=Lista_de_filmes_de_maior_bilheteria&veaction=edit&section=3,editar
/w/index.php?title=Lista_de_filmes_de_maior_bilheteria&action=edit&section=3,editar código-fonte
/wiki/Infla%C3%A7%C3%A3o,inflação
/wiki/D%C3%B3lar_dos_Estados_Unidos,US$
/wiki/Universo_Cinematogr%C3%A1fico_Marvel,Universo Cinematográfico Marvel
/wiki/Iron_Man_(filme),Iron Man
/wiki/The_Incredible_Hulk_(filme),The Incredible Hulk
/wiki/Iron_Man_2,Iron Man 2
/wiki/Thor_(filme),Thor
/wiki/Captain_America:_The_First_Avenger,Captain America: The First Avenger
/wiki/Marvel%27s_The_Avengers,Marvel's The Avengers
/wiki/Iron_Man_3,Iron Man 3
/wiki/Thor:_The_Dark_World,Thor: The Dark World
/wiki/Captain_America:_The_Winter_Soldier,Captain America: The Winter Soldier
/wiki/Guardians_of_the_Galaxy_(filme),Guardians of the Galaxy
/wiki/Avengers:_Age_of_Ultron,Avengers: Age of Ultron
/wiki/Ant-Man_(filme),Ant-Man
/wiki/Captain_America:_Civil_War,Captain America: Civil War
/wiki/Doctor_Strange_(filme),Doctor Strange
/wiki/Guardians_of_the_Galaxy_Vol._2,Guardians of the Galaxy Vol. 2
/wiki/Spider-Man:_Homecoming,Spider-Man: Homecoming
/wiki/Thor:_Ragnarok,Thor: Ragnarok
/wiki/Black_Panther_(filme),Black Panther
/wiki/Avengers:_Infinity_War,Avengers: Infinity War
/wiki/Homem-Formiga_e_a_Vespa,Ant-Man and the Wasp
/wiki/Marvel_Studios,Marvel Studios
#cite_note-mcu-113,nota 5
/wiki/Avengers:_Infinity_War,Avengers: Infinity War
/wiki/Star_Wars,Star Wars
/wiki/Star_Wars_(filme),A New Hope
/wiki/Star_Wars:_The_Empire_Strikes_Back,The Empire Strikes Back
/wiki/Star_Wars:_Return_of_the_Jedi,Return of the Jedi
/wiki/Star_Wars_Epis%C3%B3dio_I:_A_Amea%C3%A7a_Fantasma,The Phantom Menace
/wiki/Star_Wars_Epis%C3%B3dio_II:_Ataque_dos_Clones,Attack of the Clones
/wiki/Star_Wars_Epis%C3%B3dio_III:_A_Vingan%C3%A7a_dos_Sith,Revenge of the Sith
/wiki/Star_Wars:_A_Guerra_dos_Clones,The Clone Wars
/wiki/Star_Wars:_O_Despertar_da_For%C3%A7a,The Force Awakens
/wiki/Rogue_One:_A_Star_Wars_Story,Rogue One
/wiki/Star_Wars:_Epis%C3%B3dio_VIII_-_Os_%C3%9Altimos_Jedi,The Last Jedi
/wiki/Solo:_A_Star_Wars_Story,Solo: A Star Wars Story
/wiki/Lucasfilm,Lucasfilm Ltd.
#cite_note-114,nota 6
/wiki/Star_Wars:_Epis%C3%B3dio_VII_-_O_Despertar_da_For%C3%A7a,Star Wars: The Force Awakens
/wiki/Harry_Potter_(s%C3%A9rie_de_filmes),Mundo Bruxo de J.K. Rowling
/wiki/Harry_Potter_e_a_Pedra_Filosofal_(filme),Philosopher's Stone
/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(filme),Chamber of Secrets
/wiki/Harry_Potter_e_o_Prisioneiro_de_Azkaban_(filme),Prisoner of Azkaban
/wiki/Harry_Potter_e_o_C%C3%A1lice_de_Fogo_(filme),Goblet of Fire
/wiki/Harry_Potter_e_a_Ordem_da_F%C3%AAnix_(filme),Order of the Phoenix
/wiki/Harry_Potter_and_the_Half-Blood_Prince_(filme),Half-Blood Prince
/wiki/Harry_Potter_and_the_Deathly_Hallows:_Part_1,Deathly Hallows: Part 1
